hospital,demand,seed,variant,public_p90_s,bed_p90_s,public_mean_s,bed_mean_s,public_count,bed_count,trips,utilization_pct,clearance_min
hongkong,0.6,71,b,95.89857923453573,100.03088080866092,51.52737445561235,41.89154397801763,665,38,585,78.38725179896939,0.8495725960986723
hongkong,0.6,101,a,66.80089703333148,73.41408585425962,34.29346481273545,44.81646785941865,678,49,647,88.9468987172759,0.5314543711642424
hongkong,0.6,101,b,87.9381284685053,118.07169020721885,46.11466404658796,44.89573217280057,678,49,598,81.39799974336347,0.912153338907107
hongkong,0.6,137,a,61.11667332400248,89.29032489132375,32.01293392986185,45.254481438095404,637,32,601,81.20783434281141,0.7268068515171157
hongkong,0.6,137,b,81.65956131314887,119.00060227485338,43.61033974703589,51.326552527749314,637,32,557,75.15227878725585,0.5268068515171156
hongkong,0.6,179,a,67.4044070272389,76.28713190951589,34.16881998977856,41.15800228476773,641,46,620,85.35787837418209,1.4129088626944697
hongkong,0.6,179,b,89.17189178298895,77.73181948931779,45.83442738334855,36.19467180745003,641,46,572,78.21479008365864,1.9030900827974013
hongkong,0.6,223,a,62.25569433246437,72.72743878455186,30.782434034267173,42.83789007271724,636,35,620,83.76433076703755,1.1912157359986546
hongkong,0.6,223,b,76.09127888913008,103.19248093945592,40.6624140109568,49.10115254756583,636,35,562,75.50304577155221,1.0806175070373683
hongkong,0.6,269,a,67.35634818978086,85.16576101585036,32.94550086117532,50.9375191061515,627,43,615,83.68380064489264,0.9281030798579801
hongkong,0.6,269,b,81.89143904592429,120.22511029651942,43.05524700729616,58.011098607279926,627,43,571,76.50861227977383,1.5345463250349893
hongkong,0.6,317,a,69.5330523385237,86.2005632442948,34.335831253832595,51.46684336146111,632,50,609,83.2775460512391,2.435787743986536
hongkong,0.6,317,b,78.94825408225742,78.38197703703082,44.100299823957826,41.73356784718853,632,50,573,77.31483274582864,3.46773664314854
hongkong,0.6,373,a,64.63870082602061,64.13393245840733,30.966694928565136,36.98353944849327,609,37,598,81.26682671897471,1.2350342212382506
hongkong,0.6,373,b,84.47474275273889,106.20301171268363,46.017409793290376,43.25664636735621,609,37,556,75.6533497912833,1.0350342212382506
hongkong,0.6,431,a,62.67348754492215,73.89551286241613,29.953020967505182,42.121774038308224,640,44,619,83.26612275794582,1.3592358386189516
hongkong,0.6,431,b,82.61916750313627,129.81529255234938,43.70391854422902,52.776289648407584,640,44,581,77.99283993360329,1.6064034546058792
hongkong,1,13,a,134.7203544315933,161.47222134648695,73.17131375588403,113.92736472816947,1099,75,710,99.83064032230399,1.788558275856667
hongkong,1,13,b,140.44879618400265,274.8566733989094,80.1882835148747,118.88142836767152,1099,75,662,91.27838924380288,1.5305574873257077
hongkong,1,29,a,120.02022371971816,157.08310339272435,67.92813494322478,113.44488478055914,1062,55,723,99.14272617672557,1.8116304741278024
hongkong,1,29,b,130.07632802232956,253.34323807036577,77.64103552503384,108.92964360963398,1062,55,645,86.69802124574339,2.4011466266635884
hongkong,1,47,a,128.95211822228012,148.16374521963309,73.11116395937248,105.88892226488392,1080,73,716,99.40469530842016,2.0904009833590864
hongkong,1,47,b,131.74957779653715,160.7544288143716,76.4282816755727,66.89858712375862,1080,73,659,90.65719551121887,2.7446532208992114
hongkong,1,71,a,130.00411886247076,155.13513832721537,74.30148687550263,107.33497980637551,1099,80,700,99.5898386134311,1.793041004049519
hongkong,1,71,b,132.52122120018703,249.87070494684002,76.4409390814139,96.08855788986776,1099,80,668,91.4793944049689,2.0743318465420697
hongkong,1,101,a,126.68558626980582,163.13963014836304,72.85019652117408,111.3487103600644,1108,66,710,98.9955504006608,1.945601778495014
hongkong,1,101,b,140.69430900001908,160.45109435750737,83.32463737287021,73.45051343657474,1108,66,652,88.78669484047701,2.287271183309804
hongkong,1,137,a,123.37127654762989,142.70246538413124,72.91053724783397,102.05552483503803,1075,77,701,99.75475379193843,2.0681282146721665
hongkong,1,137,b,137.73381265295322,164.67397372190902,82.12802934144484,80.37789474224913,1075,77,656,91.7285648534606,2.566729388144146
hongkong,1,179,a,129.6919051727059,158.7661536578853,71.24646609524885,106.07570396615789,1066,71,707,99.39011725130791,1.650096822743429
hongkong,1,179,b,125.45960540160863,368.21125772186497,74.1230737846096,130.3979127196262,1066,71,651,90.67137971725334,1.1763069790384482
